Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0.08,-0.132027504,0.46,0.15,0.91,0.38,16.73942567,0
0.32,-0.141461855,0.78,0.4,0.37,-0.15,18.81034787,0
0.39,-0.149066191,0.72,0.1,0.39,-0.03,17.81549492,0
0.12,-0.147253943,0.83,0.12,0.72,0.09,15.91930514,0
0.01,-0.116499024,0.48,0.08,0.75,0.41,16.08140947,0
0.18,-0.147982396,0.93,0.03,0.43,-0.02,16.35271755,0
0.02,-0.151695728,1.21,0.03,0.29,-0.48,17.01130005,0
0.03,-0.151891166,0.4,0.19,0.1,0.18,16.57638455,0
0.12,-0.139702908,0.7,0.12,0.34,0.18,16.02342765,0
0.06,-0.121029645,0.7,0.09,0.38,0.25,17.30223181,0
0.22,-0.144055858,0.82,0.17,0.3,0.14,16.93160308,0
0.28,-0.14465994,0.07,0.49,0.28,0.24,18.28905022,0
0.2,-0.133146834,0.32,0.03,0.97,0.48,18.87075501,0
0.07,-0.144020323,0.72,0.38,0.21,0.11,16.15558554,0
0.13,-0.06502762,0.33,0,0.29,0.53,18.51953378,0
0.04,-0.14137302,0.56,0.08,0.59,0.38,16.87959404,0
0.23,-0.144464502,0.72,0.08,0.59,0.06,16.51474125,0
0.03,-0.111097813,0.56,0.72,0.61,0.32,16.14936687,0
0.11,-0.139116593,0.32,0.09,0.28,0.09,16.28934649,0
0.24,-0.135065685,0.55,0.11,0.34,0.37,17.71461729,0
0.09,0.593813458,0.44,0.61,1.03,0.52,17.46153564,0
0.16,0.016807826,0.54,0.24,1.01,0.33,16.30402303,0
0.07,-0.145619366,0.77,0.11,0.59,0.21,15.96550609,0
0.13,0.435135133,0.21,0.69,0.31,0.46,17.17548257,0
0.1,-0.150025617,0.86,0.62,0.2,-0.06,16.44284003,0
0.21,-0.140662334,0.71,0.25,0.68,0.07,16.48812341,0
0.08,-0.13286256,0.45,0.21,0.83,0.22,16.67481324,0
0.23,-0.142065938,0.61,0.08,0.17,0.02,17.7784282,0
0.38,-0.151766796,0.82,0.17,0.09,-0.24,16.67947879,0
0.06,-0.140786704,0.78,0.24,0.47,0.14,16.3336986,0
0.04,-0.147378313,0.87,0.05,0.25,0,16.22818329,0
0.06,-0.139276497,0.87,0.39,0.38,0,16.04399454,0
0.11,-0.059306601,0.15,0.23,0.48,0.76,16.6115449,0
0.13,-0.13950747,0.49,0.32,0.46,0.13,22.26610954,0
0.11,-0.142385747,0.4,0.45,0.38,-0.18,17.66342836,0
0.1,-0.117902628,0.37,0.41,0.84,0.42,17.04283103,0
0.02,-0.143469542,0.58,0.11,0.19,-0.01,15.98533174,0
0.05,-0.14839104,0.87,0.38,0.12,0.04,16.94315767,0
0.29,-0.153756716,0.49,0.1,0.02,0.41,16.39323785,0
0.03,0.226637747,0.38,0,0.68,0.59,16.61861915,0
0.04,-0.142279144,0.52,0.07,0.29,0.18,16.4549923,0
0.1,16.27274579,0.2,0.54,0.27,0.62,18.05812519,0
0.06,0.157310368,0.12,0.37,0.69,0.63,15.89806699,0
0.13,-0.07167253,0.46,0.09,0.71,0.38,18.06832991,0
0.22,1.766053808,0.53,0.43,0.24,0.45,16.09723252,0
0.08,-0.124494237,0.56,0.07,0.86,0.12,16.04914453,0
0.26,-0.109836346,0.12,0.18,0.38,0.31,16.58386778,0
0.08,1.604852549,0.28,0.52,0.27,0.51,16.83702032,0
0.25,-0.140235923,0.69,0.01,0.37,-0.28,15.94763729,0
0.04,-0.134888014,0.78,0.14,0.71,-0.16,15.97955516,0
0.24,-0.148462108,0.84,0.17,0.38,0.12,16.00882829,0
